UMAP1,UMAP2,cluster
1.8457814,3.5297067,1
2.1717038,4.2535357,1
1.4681048,4.2929635,1
1.6840577,3.277272,2
1.7514167,4.405654,1
1.7028166,3.557271,1
0.6523547,6.119112,0
1.4984835,4.595479,1
2.6186342,3.86192,1
-1.8549228,5.9332366,0
1.2920994,5.49907,0
1.4160777,5.3970494,0
-1.6874708,6.069047,0
1.8604031,4.1922016,1
1.4925002,5.161688,1
2.2889311,3.4172075,1
0.11559092,4.452927,0
-1.8744617,6.147645,0
2.0285523,3.6283035,1
2.2513912,3.3197863,1
2.3383868,3.6906717,1
1.3988949,4.764921,1
0.61073893,6.0674257,0
0.5100042,4.9528155,0
1.2082956,4.3202596,1
-0.47320506,4.8605437,0
1.2919343,4.307691,1
2.305447,5.4708576,1
1.2132996,4.4355083,1
1.9727641,3.3931336,1
2.3886952,3.80635,1
3.147519,0.7353657,2
2.2723083,3.6422722,1
2.1369808,3.9859867,1
0.290894,5.131241,0
-0.68354523,5.531962,0
2.8956776,4.628085,1
1.0175041,4.7206855,0
-1.4216988,5.829548,0
0.5618344,5.0057716,0
2.1709237,3.940562,1
-0.49483383,3.5812223,0
2.4125898,4.0526686,1
2.3369021,1.9649034,2
-1.8227657,6.0228577,0
2.7381175,3.098784,1
3.088254,1.0929992,2
1.8775644,4.0039935,1
2.065277,4.487432,1
1.9598813,4.312468,1
1.062532,3.191557,2
1.5496972,3.5578446,2
2.3197527,2.3003654,2
1.7505789,2.4505522,2
-0.12112651,5.5373464,0
0.6880881,4.9960365,0
1.0973039,5.4005313,0
1.0468017,4.9170237,0
1.2348292,4.911343,0
0.76815957,4.898253,0
-1.7515597,6.0393386,0
2.0836513,4.2020197,1
1.4005063,5.207794,0
2.4518025,4.14304,1
2.5036905,4.0396743,1
2.773663,3.6060307,1
2.284959,5.0691366,1
-1.7137376,5.9506474,0
2.5907114,5.0336323,1
2.3163624,3.040204,1
2.7926493,3.750026,1
1.3926965,5.6597586,0
1.9441624,3.7095506,1
2.3926165,4.931478,1
-1.736244,5.931974,0
2.835779,3.6291573,1
2.4441373,4.2742953,1
-0.31997606,5.9161506,0
2.9811516,4.416132,1
2.8218412,4.2055254,1
2.9016874,4.8283806,1
2.55655,5.0091457,1
1.0112,4.7769723,0
1.3287416,5.1468167,0
0.8200134,4.945155,0
1.0124178,4.957314,0
-0.5777514,5.551476,0
2.321625,4.84331,1
2.2461321,3.8848372,1
-1.0342344,3.9529397,0
2.8422513,2.733429,1
2.7193258,4.3926105,1
2.0444882,3.9823592,1
2.403948,3.2958355,1
0.30484292,3.9889917,0
1.9367108,3.434853,1
1.2640336,4.3344383,1
0.33354846,7.143722,0
0.93635106,5.475745,0
1.1472071,5.546819,0
2.3659935,4.0330844,1
0.6784575,5.230095,0
0.56018674,6.2481484,0
2.7920191,2.9445941,1
3.1399844,0.7713824,2
1.9172854,5.423423,1
2.5297756,5.3445187,1
2.3449175,4.751397,1
2.7970564,4.0986953,1
2.4617183,5.428661,1
1.7785472,4.7902937,1
2.6632028,4.3869877,1
2.8340101,4.8452263,1
2.8181455,4.283267,1
2.6536446,5.347129,1
2.6421297,4.138307,1
2.9107022,3.9379578,1
-0.15904216,5.8473005,0
0.46219525,6.245807,0
1.627897,4.4333386,1
2.0419621,3.723011,1
1.6255006,3.5997298,1
1.3186262,3.783084,2
1.4011415,4.4632792,1
1.1676251,4.262978,1
0.423323,4.4946184,0
1.5695784,4.435493,1
0.7255518,5.040184,0
2.3828285,3.528468,1
1.8304017,3.5938556,1
1.9726942,3.5390205,1
2.0207443,3.6358693,1
2.2051957,3.4456306,1
0.6307502,4.9939237,0
2.8355012,3.1957095,1
1.2302377,4.859242,0
-1.5748378,6.0470448,0
2.3902934,4.5223923,1
1.8608712,3.546372,1
3.1772213,4.3089623,1
2.554488,3.3518534,1
2.9674387,3.7945912,1
2.5556169,5.36713,1
2.820885,2.687519,1
2.5550032,2.3044264,2
2.521588,5.4715705,1
1.8540446,5.700404,1
2.399255,3.8508842,1
2.4738128,3.7773087,1
2.4649467,5.2003064,1
2.2867427,5.554574,1
3.1026878,0.7137148,2
2.5212944,3.3592997,1
-1.3862342,6.445134,0
2.5163023,5.4006886,1
2.6546783,5.1310067,1
-1.6089118,6.1389008,0
-1.1139168,6.237607,0
2.1453726,5.170349,1
2.9476378,2.9794433,1
2.5369828,4.2658925,1
2.8804603,3.1363795,1
-1.4245408,5.7565885,0
1.3910505,4.8483124,1
2.2723172,4.9254975,1
2.0101013,5.175044,1
2.282511,3.9406097,1
2.661692,4.1076875,1
1.7312685,3.7157435,1
1.486759,5.2503514,1
2.7613797,4.8434477,1
2.0401382,3.7637084,1
2.0885618,2.9043074,2
0.92837036,5.266248,0
1.3240808,4.8829412,0
0.66822547,6.1154537,0
2.9792614,3.2983577,1
1.0106117,4.2438755,0
0.79634976,5.11947,0
1.9436654,2.6256623,2
2.0945504,3.898575,1
1.935838,3.9376152,1
1.7956482,3.814188,1
1.8608503,3.9937198,1
1.192891,4.781475,0
0.8629372,5.0042973,0
1.867999,5.146502,1
1.0670763,4.132725,0
-1.0466115,3.9513376,0
1.564917,5.228136,1
2.2370572,5.0651984,1
2.9275894,4.1204014,1
2.7442205,5.2167573,1
1.4759276,4.3454046,1
1.606854,4.4886284,1
2.0018241,2.812423,2
1.4610145,4.390376,1
1.9222071,3.6192067,1
